"id","cluster_C1","cluster_C2_original","cluster_C2","changed_cluster","silhouette_C1","silhouette_C2"
480,9,6,6,TRUE,0.177051495543064,0.0584564568971877
481,7,7,7,FALSE,0.714831104840419,0.667841381054768
482,5,5,5,FALSE,0.604273617983956,0.536113782068073
483,2,2,2,FALSE,0.42558663735686,0.40596708724594
484,10,10,10,FALSE,0.258157369655206,0.264684366652894
485,11,11,11,FALSE,-0.0582607817520507,-0.0570326819445724
486,6,6,6,FALSE,0.480952870466294,0.287068163749262
487,6,6,6,FALSE,0.270151009684056,0.0908017064465377
488,2,2,2,FALSE,0.72539848068866,0.673917016129872
489,3,3,3,FALSE,0.544817116725088,0.365700663987882
490,7,4,4,TRUE,0.135595644046402,-0.0839838616427576
491,2,2,2,FALSE,0.769830412846219,0.726575671226389
492,2,2,2,FALSE,0.687436652866193,0.629433640790667
493,2,2,2,FALSE,0.764273987662371,0.718301176968522
494,1,1,1,FALSE,0.697262451213032,0.688602483928581
495,2,2,2,FALSE,0.769336451541081,0.716006727558616
496,9,9,9,FALSE,-0.217907715351635,-0.0371267630156517
497,4,4,4,FALSE,0.457686321672055,0.344794330062476
498,1,1,1,FALSE,0.754611499195428,0.739559682490873
499,2,2,2,FALSE,0.692876570949935,0.646636133437983
500,2,2,2,FALSE,0.773695351899739,0.729037600983517
501,11,11,11,FALSE,0.568362287891771,0.568982909650703
502,5,5,5,FALSE,0.791054976494477,0.714090351134153
503,2,2,2,FALSE,0.759344853917013,0.693910977742831
504,2,4,4,TRUE,-0.024981663005187,-0.0481097529338964
505,7,7,7,FALSE,0.721379627516492,0.668780487271541
506,1,1,1,FALSE,0.716349776026628,0.704003271795507
507,10,10,10,FALSE,0.139583893986519,0.173632196308062
508,2,2,2,FALSE,0.669211515535713,0.627419187886254
509,8,8,8,FALSE,0.763671555580675,0.705915703765659
510,8,8,8,FALSE,0.617307445187947,0.570960948473626
511,8,8,8,FALSE,0.73199619556477,0.688892078068886
512,9,9,9,FALSE,0.30965599782434,0.395375149358138
513,5,5,5,FALSE,0.791739865488729,0.711268485892154
514,4,4,4,FALSE,0.726580131316015,0.58338735393874
515,11,5,5,TRUE,-0.111459562987913,0.0204989432384225
516,10,10,10,FALSE,0.194616878420109,0.280736515732915
517,10,10,10,FALSE,0.324778164828223,0.393470315742661
518,11,11,11,FALSE,0.512453022698006,0.510273544983331
519,8,8,8,FALSE,0.763442122803886,0.717263078827019
520,8,8,8,FALSE,0.661005595871979,0.610915258701029
521,10,10,10,FALSE,0.45389478377225,0.443420977666141
522,2,2,2,FALSE,0.621922519728831,0.580398514650888
523,10,10,10,FALSE,0.451786179326996,0.444001863776716
524,9,9,9,FALSE,0.384493621671952,0.444545001032315
525,12,12,12,FALSE,-0.0352739533925347,-0.0285950868677679
526,5,5,5,FALSE,0.790701371120312,0.704653655927272
527,11,11,11,FALSE,0.0419742656099493,0.0412973330614075
528,12,12,12,FALSE,-0.0747673114668394,-0.0767470381585647
529,11,11,11,FALSE,0.526051618280854,0.508769305219597
530,6,6,6,FALSE,0.44857718935475,0.250513852128319
531,5,5,5,FALSE,0.762514660090052,0.697835120223846
532,5,5,5,FALSE,0.699522926352367,0.640054520470605
533,5,5,5,FALSE,0.490380378784079,0.463069946523107
534,2,2,2,FALSE,0.768960828537532,0.721229000565799
535,5,5,5,FALSE,0.790465905340179,0.716941662623449
536,5,5,5,FALSE,0.55250465519072,0.514227898543353
537,5,5,5,FALSE,0.790574077412509,0.731159712055552
538,8,8,8,FALSE,0.758626593081041,0.699780493207313
539,5,5,5,FALSE,0.754729868127098,0.697738684199724
540,2,2,2,FALSE,0.75795130044245,0.709616111709057
541,6,6,6,FALSE,0.235510682404206,0.1146249843647
542,6,6,6,FALSE,0.495106776839803,0.282764542360029
543,8,8,8,FALSE,0.721412252285273,0.676292652530959
544,6,6,6,FALSE,0.495962240452704,0.286403175812982
545,9,9,9,FALSE,0.249497982572737,0.376642235636658
546,9,9,9,FALSE,0.28013579218789,0.377109655848324
547,8,8,8,FALSE,0.763605124957466,0.702907682642984
548,9,9,9,FALSE,0.369510372170119,0.473417629385746
549,6,6,6,FALSE,0.398461472717078,0.18385883590557
550,12,12,12,FALSE,0.208359131727989,0.188521024579724
551,10,10,10,FALSE,0.104467462256683,0.134524538880624
552,1,1,1,FALSE,0.746496553973748,0.726662126969677
553,12,12,12,FALSE,-0.0315823986839951,-0.0877252168666495
554,8,8,8,FALSE,0.666787049086635,0.617169938326272
555,2,2,2,FALSE,0.774248775427901,0.730137318909467
556,10,10,10,FALSE,0.449923602770846,0.43165826362255
557,2,2,2,FALSE,0.683980806966152,0.63708143456901
558,12,12,12,FALSE,0.198020639229628,0.189573197172465
559,5,5,5,FALSE,0.682282638656582,0.612848420856024
560,4,4,4,FALSE,0.661627356259838,0.505649565722462
