"id","runoff_network_low","runoff_network_medium","runoff_network_high","runoff_TM_low","runoff_TM_medium","runoff_TM_high","MAP_runoff_network","MAP_runoff_TM","JS_runoff","H_runoff_network","H_runoff_TM","delta_H_runoff","UREH_network_aporte_conservada","UREH_network_aporte_degradada","UREH_network_transferencia_conservada","UREH_network_transferencia_degradada","UREH_network_receptora_conservada","UREH_network_receptora_degradada","UREH_TM_aporte_conservada","UREH_TM_aporte_degradada","UREH_TM_transferencia_conservada","UREH_TM_transferencia_degradada","UREH_TM_receptora_conservada","UREH_TM_receptora_degradada","MAP_UREH_network","MAP_UREH_TM","JS_UREH","H_UREH_network","H_UREH_TM","delta_H_UREH","runoff_MAP_changed","UREH_MAP_changed"
510,0.155,0.255,0.59,0.0245014907564218,0.606300583994551,0.369197925249027,"esc_alta","esc_media",0.331450593601844,0.863571156866974,0.693724223443661,-0.169846933423313,0.071525,0.119615,0.101525,0.177615,0.18695,0.34277,0.0701704465173891,0.116996196600286,0.100170446517389,0.174996196600286,0.189659106965222,0.348007606799429,"receptora_degradada","receptora_degradada",0.00683907609385721,0.927769419019908,0.924009538041707,-0.00375988097820112,TRUE,FALSE
511,0.155,0.255,0.59,0.0290534208059981,0.860356138706654,0.110590440487348,"esc_alta","esc_media",0.537748388647027,0.863571156866974,0.433024154544496,-0.430547002322479,0.063125,0.103375,0.2207,0.40802,0.076175,0.128605,0.0646485473289597,0.106320524835989,0.22825679475164,0.422629803186504,0.0670946579194002,0.111049671977507,"transferencia_degradada","transferencia_degradada",0.0288440675815534,0.875185242956966,0.860538023241762,-0.0146472197152043,TRUE,FALSE
512,0.155,0.255,0.59,0.0276576626594909,0.78245509315174,0.189887244188769,"esc_alta","esc_media",0.463015244608257,0.863571156866974,0.552193814819732,-0.311377342047242,0.063125,0.103375,0.2207,0.40802,0.076175,0.128605,0.0633962861568456,0.103899486569901,0.228340540240431,0.422791711131499,0.0682631736027239,0.1133088022986,"transferencia_degradada","transferencia_degradada",0.0254513030054502,0.875185242956966,0.860234539663017,-0.0149507032939491,TRUE,FALSE
513,0.2025,0.55,0.2475,0.755346811811202,0.191527450730427,0.053125737458371,"esc_media","esc_baja",0.486719630080055,0.908237865329521,0.622972252394772,-0.285265612934749,0.065675,0.108305,0.095675,0.166305,0.19865,0.36539,0.0544666838847075,0.0866355888437679,0.0844666838847075,0.144635588843768,0.221066632230585,0.408728822312464,"receptora_degradada","receptora_degradada",0.0579020089927623,0.910488986186234,0.869634449471459,-0.0408545367147751,TRUE,FALSE
514,0.63,0.235,0.135,0.968403074295474,0.020068317677199,0.0115286080273271,"esc_baja","esc_baja",0.383427959903019,0.820796482214274,0.146533027381825,-0.674263454832449,0.092645,0.057575,0.150645,0.087575,0.39671,0.21485,0.0792506404782237,0.0506468830059778,0.137250640478224,0.0806468830059778,0.423498719043553,0.228706233988044,"receptora_conservada","receptora_conservada",0.0365574811951748,0.882009522904832,0.853287686945143,-0.0287218359596886,FALSE,FALSE
515,0.54,0.28,0.18,0.954813359528487,0.0275049115913556,0.0176817288801572,"esc_baja","esc_baja",0.429976594528833,0.908268214242105,0.195096679720355,-0.71317153452175,0.0866,0.14876,0.1976,0.36336,0.0758,0.12788,0.10770137524558,0.189555992141454,0.172711198428291,0.315241650294695,0.0795874263261297,0.135202357563851,"transferencia_degradada","transferencia_degradada",0.0674465451320244,0.916484382195692,0.945682388037966,0.0291980058422748,FALSE,FALSE
516,0.63,0.235,0.135,0.968403074295474,0.020068317677199,0.0115286080273271,"esc_baja","esc_baja",0.383427959903019,0.820796482214274,0.146533027381825,-0.674263454832449,0.33929,0.18515,0.179355,0.102425,0.121355,0.072425,0.312501280956447,0.171293766011956,0.192749359521776,0.109353116994022,0.134749359521776,0.0793531169940222,"aporte_conservada","aporte_conservada",0.0348441883863252,0.930187634168388,0.946676444656115,0.0164888104877277,FALSE,FALSE
517,0.1725,0.2725,0.555,0.0182166820390889,0.127144521389198,0.854638796571713,"esc_alta","esc_alta",0.307680184347681,0.895860114045862,0.427298838235005,-0.468561275810857,0.390185,0.211475,0.1539075,0.0892625,0.0959075,0.0592625,0.416512482642892,0.225092663435979,0.140743758678554,0.0824536682820106,0.0827437586785539,0.0524536682820106,"aporte_conservada","aporte_conservada",0.0356747585210638,0.88838739142967,0.861178644934024,-0.0272087464956462,FALSE,FALSE
518,0.185,0.62,0.195,0.0160311958405546,0.967071057192374,0.0168977469670711,"esc_media","esc_media",0.388859957917814,0.844090741204695,0.152550356698301,-0.691540384506394,0.2003,0.36858,0.09485,0.16471,0.06485,0.10671,0.200025996533795,0.368050259965338,0.0949870017331022,0.164974870017331,0.0649870017331022,0.106974870017331,"aporte_degradada","aporte_degradada",0.000698575799792154,0.907832455050351,0.90827739396938,0.000444938919028748,FALSE,FALSE
519,0.61,0.245,0.145,0.723973967540467,0.25890387475191,0.0171221577076232,"esc_baja","esc_baja",0.21278291449701,0.842982251726283,0.594697726933379,-0.248284524792904,0.090275,0.155865,0.1934,0.35524,0.076325,0.128895,0.0973219961737066,0.1694891926025,0.186561561947572,0.342019019765306,0.0761164418787214,0.128491787632195,"transferencia_degradada","transferencia_degradada",0.0208919481788086,0.922374528809363,0.930618213678033,0.00824368486867066,FALSE,FALSE
