"id","cluster_C2","UREH_predicha","funcion","condicion"
150,10,"aporte_conservada","aporte","conservada"
151,11,"transferencia_degradada","transferencia","degradada"
152,7,"aporte_conservada","aporte","conservada"
153,2,"transferencia_conservada","transferencia","conservada"
154,11,"transferencia_degradada","transferencia","degradada"
155,9,"transferencia_degradada","transferencia","degradada"
156,4,"transferencia_conservada","transferencia","conservada"
157,2,"transferencia_conservada","transferencia","conservada"
158,2,"transferencia_conservada","transferencia","conservada"
159,2,"transferencia_conservada","transferencia","conservada"
160,11,"transferencia_degradada","transferencia","degradada"
161,11,"aporte_degradada","aporte","degradada"
162,7,"aporte_conservada","aporte","conservada"
163,11,"aporte_degradada","aporte","degradada"
164,11,"transferencia_degradada","transferencia","degradada"
165,11,"transferencia_degradada","transferencia","degradada"
166,1,"aporte_conservada","aporte","conservada"
167,4,"transferencia_conservada","transferencia","conservada"
168,2,"aporte_conservada","aporte","conservada"
169,11,"aporte_degradada","aporte","degradada"
170,11,"receptora_degradada","recepcion","degradada"
171,4,"transferencia_conservada","transferencia","conservada"
172,5,"aporte_degradada","aporte","degradada"
173,11,"transferencia_degradada","transferencia","degradada"
174,6,"transferencia_degradada","transferencia","degradada"
175,2,"transferencia_conservada","transferencia","conservada"
176,11,"transferencia_degradada","transferencia","degradada"
177,4,"receptora_conservada","recepcion","conservada"
178,5,"transferencia_degradada","transferencia","degradada"
179,11,"aporte_degradada","aporte","degradada"
180,4,"transferencia_conservada","transferencia","conservada"
181,8,"receptora_degradada","recepcion","degradada"
182,8,"transferencia_degradada","transferencia","degradada"
183,2,"aporte_conservada","aporte","conservada"
184,2,"transferencia_conservada","transferencia","conservada"
185,2,"aporte_conservada","aporte","conservada"
186,2,"transferencia_conservada","transferencia","conservada"
187,8,"transferencia_degradada","transferencia","degradada"
188,8,"aporte_degradada","aporte","degradada"
189,2,"aporte_conservada","aporte","conservada"
190,8,"transferencia_degradada","transferencia","degradada"
191,2,"aporte_conservada","aporte","conservada"
192,9,"transferencia_degradada","transferencia","degradada"
193,5,"receptora_degradada","recepcion","degradada"
194,2,"aporte_conservada","aporte","conservada"
195,2,"aporte_conservada","aporte","conservada"
196,5,"aporte_degradada","aporte","degradada"
197,8,"transferencia_degradada","transferencia","degradada"
198,2,"aporte_conservada","aporte","conservada"
199,2,"transferencia_conservada","transferencia","conservada"
200,10,"transferencia_conservada","transferencia","conservada"
201,10,"transferencia_conservada","transferencia","conservada"
202,5,"transferencia_degradada","transferencia","degradada"
203,2,"transferencia_conservada","transferencia","conservada"
204,10,"transferencia_conservada","transferencia","conservada"
205,10,"aporte_conservada","aporte","conservada"
206,2,"aporte_conservada","aporte","conservada"
207,1,"aporte_conservada","aporte","conservada"
208,10,"aporte_conservada","aporte","conservada"
209,10,"aporte_conservada","aporte","conservada"
210,2,"transferencia_conservada","transferencia","conservada"
211,2,"transferencia_conservada","transferencia","conservada"
212,8,"transferencia_degradada","transferencia","degradada"
213,5,"transferencia_degradada","transferencia","degradada"
214,10,"aporte_conservada","aporte","conservada"
215,5,"receptora_degradada","recepcion","degradada"
216,4,"transferencia_conservada","transferencia","conservada"
217,2,"transferencia_conservada","transferencia","conservada"
218,8,"transferencia_degradada","transferencia","degradada"
219,12,"transferencia_conservada","transferencia","conservada"
220,11,"transferencia_degradada","transferencia","degradada"
221,12,"aporte_degradada","aporte","degradada"
222,12,"transferencia_conservada","transferencia","conservada"
223,5,"aporte_degradada","aporte","degradada"
224,10,"aporte_conservada","aporte","conservada"
225,12,"aporte_degradada","aporte","degradada"
226,10,"transferencia_conservada","transferencia","conservada"
227,4,"transferencia_conservada","transferencia","conservada"
228,1,"aporte_conservada","aporte","conservada"
229,12,"transferencia_conservada","transferencia","conservada"
230,2,"transferencia_conservada","transferencia","conservada"
231,2,"receptora_conservada","recepcion","conservada"
232,12,"transferencia_conservada","transferencia","conservada"
233,5,"transferencia_degradada","transferencia","degradada"
234,12,"transferencia_conservada","transferencia","conservada"
235,12,"receptora_conservada","recepcion","conservada"
236,10,"aporte_conservada","aporte","conservada"
237,4,"receptora_conservada","recepcion","conservada"
238,5,"transferencia_degradada","transferencia","degradada"
239,2,"receptora_conservada","recepcion","conservada"
240,12,"receptora_conservada","recepcion","conservada"
241,12,"aporte_degradada","aporte","degradada"
242,2,"aporte_conservada","aporte","conservada"
243,8,"aporte_degradada","aporte","degradada"
244,12,"receptora_degradada","recepcion","degradada"
245,10,"aporte_conservada","aporte","conservada"
246,5,"aporte_degradada","aporte","degradada"
247,2,"aporte_conservada","aporte","conservada"
248,12,"receptora_degradada","recepcion","degradada"
249,5,"receptora_degradada","recepcion","degradada"
250,4,"aporte_conservada","aporte","conservada"
251,10,"transferencia_conservada","transferencia","conservada"
252,9,"receptora_degradada","recepcion","degradada"
253,10,"transferencia_conservada","transferencia","conservada"
254,4,"transferencia_conservada","transferencia","conservada"
255,6,"receptora_degradada","recepcion","degradada"
256,2,"transferencia_conservada","transferencia","conservada"
257,5,"transferencia_degradada","transferencia","degradada"
258,10,"aporte_conservada","aporte","conservada"
259,4,"transferencia_conservada","transferencia","conservada"
260,10,"transferencia_conservada","transferencia","conservada"
261,2,"aporte_conservada","aporte","conservada"
262,4,"transferencia_conservada","transferencia","conservada"
263,4,"transferencia_conservada","transferencia","conservada"
264,12,"aporte_conservada","aporte","conservada"
265,8,"aporte_degradada","aporte","degradada"
266,8,"aporte_degradada","aporte","degradada"
267,4,"transferencia_conservada","transferencia","conservada"
268,5,"transferencia_degradada","transferencia","degradada"
269,4,"transferencia_conservada","transferencia","conservada"
270,2,"aporte_conservada","aporte","conservada"
