"id","Esc_sum","Esc_cat","escorrentia","ev_esc_baja","ev_esc_media","ev_esc_alta","suma_evidencia","ev_esc_baja_aj","ev_esc_media_aj","ev_esc_alta_aj","suma_evidencia_aj"
787,186794.986297607,"Baja","esc_baja",1,0,0,1,0.9,0.05,0.05,1
788,101312.094696045,"Baja","esc_baja",1,0,0,1,0.9,0.05,0.05,1
789,373366.498962402,"Media","esc_media",0.447446507861664,0.552553492138336,0,1,0.430329531682414,0.519670468317586,0.05,1
790,392143.252685547,"Media","esc_media",0.344656498921301,0.655343501078699,0,1,0.342958024083106,0.607041975916894,0.05,1
791,638663.383026123,"Media","esc_media",0,1,0,1,0.05,0.9,0.05,1
792,811156.897216797,"Media","esc_media",0,0.608386208322364,0.391613791677636,1,0.05,0.56712827707401,0.38287172292599,1
793,560893.713653564,"Media","esc_media",0,1,0,1,0.05,0.9,0.05,1
794,173680.947906494,"Baja","esc_baja",1,0,0,1,0.9,0.05,0.05,1
795,694449.841217041,"Media","esc_media",0,0.945541723817742,0.0544582761822581,1,0.05,0.853710465245081,0.0962895347549194,1
796,466708.569244385,"Media","esc_media",0,1,0,1,0.05,0.9,0.05,1
797,42916.0398864746,"Baja","esc_baja",1,0,0,1,0.9,0.05,0.05,1
798,135911.045471191,"Baja","esc_baja",1,0,0,1,0.9,0.05,0.05,1
799,711421.64465332,"Media","esc_media",0,0.896511807953385,0.103488192046615,1,0.05,0.812035036760377,0.137964963239623,1
800,48932.636932373,"Baja","esc_baja",1,0,0,1,0.9,0.05,0.05,1
801,326922.786712647,"Baja","esc_baja",0.701694375611635,0.298305624388365,0,1,0.64644021926989,0.30355978073011,0.05,1
802,389614.711120605,"Media","esc_media",0.358498551381418,0.641501448618582,0,1,0.354723768674205,0.595276231325795,0.05,1
803,177464.147979736,"Baja","esc_baja",1,0,0,1,0.9,0.05,0.05,1
804,234199.828582764,"Baja","esc_baja",1,0,0,1,0.9,0.05,0.05,1
